CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
Cust_0016,43,Male,Two year,58.59524553582073,2050.83,Yes,Fiber optic,35,Yes,Electronic check,No,58.59524553582073,2050.83
Cust_0017,37,Female,One year,70.24782972954546,1053.72,Yes,DSL,15,Yes,Bank transfer (automatic),No,70.24782972954546,1053.72
Cust_0018,53,Female,One year,40.327204161568524,362.94,Yes,Fiber optic,9,No,Electronic check,Yes,40.327204161568524,362.94
Cust_0019,39,Female,One year,59.01941092936413,3836.26,No,DSL,65,No,Mailed check,Yes,59.01941092936413,3836.26
Cust_0020,33,Male,Month-to-month,44.582212210977076,2585.77,No,No,58,Yes,Electronic check,No,44.582212210977076,2585.77
Cust_0021,67,Female,Month-to-month,99.94611862872247,99.95,No,No,1,No,Electronic check,Yes,99.94611862872247,99.95
Cust_0022,47,Male,One year,80.21569159150349,1684.53,No,Fiber optic,21,Yes,Mailed check,No,80.21569159150349,1684.53
Cust_0023,50,Male,Month-to-month,53.75282256901153,913.8,Yes,DSL,17,Yes,Mailed check,No,53.75282256901153,913.8
Cust_0024,32,Female,Month-to-month,65.53504893726299,4194.24,No,Fiber optic,64,Yes,Credit card (automatic),No,65.53504893726299,4194.24
Cust_0025,43,Male,One year,42.014639162213804,588.2,Yes,DSL,14,Yes,Electronic check,No,42.014639162213804,588.2
Cust_0026,51,Female,Month-to-month,56.28465568604262,2645.38,Yes,No,47,Yes,Credit card (automatic),No,56.28465568604262,2645.38
Cust_0027,36,Male,Two year,56.30814855311198,957.24,No,No,17,Yes,Bank transfer (automatic),No,56.30814855311198,957.24
Cust_0028,54,Female,Month-to-month,41.43689996728794,165.75,No,No,4,Yes,Bank transfer (automatic),No,41.43689996728794,165.75
Cust_0029,42,Male,Month-to-month,65.13420461677931,1432.95,Yes,No,22,Yes,Mailed check,Yes,65.13420461677931,1432.95
Cust_0030,46,Male,One year,60.79767963203311,303.99,No,DSL,5,No,Credit card (automatic),No,60.79767963203311,303.99
Cust_0031,42,Female,One year,42.79388162171714,470.73,Yes,DSL,11,Yes,Bank transfer (automatic),Yes,42.79388162171714,470.73
Cust_0032,72,Male,Two year,92.55319462659668,5830.85,No,Fiber optic,63,No,Electronic check,Yes,92.55319462659668,5830.85
Cust_0033,49,Female,Month-to-month,76.61937452323255,153.24,No,Fiber optic,2,No,Mailed check,No,76.61937452323255,153.24
Cust_0034,37,Male,Two year,79.12215935768302,2215.42,Yes,Fiber optic,28,No,Electronic check,No,79.12215935768302,2215.42
Cust_0035,59,Male,Two year,63.95645328355721,383.74,No,Fiber optic,6,No,Credit card (automatic),No,63.95645328355721,383.74
Cust_0036,35,Male,One year,117.7911233717934,942.33,Yes,Fiber optic,8,No,Credit card (automatic),No,117.7911233717934,942.33
Cust_0037,52,Female,Month-to-month,59.238746623244076,651.63,Yes,Fiber optic,11,Yes,Bank transfer (automatic),No,59.238746623244076,651.63
Cust_0038,26,Female,One year,105.39624930624328,1897.13,No,No,18,Yes,Credit card (automatic),No,105.39624930624328,1897.13
Cust_0039,34,Female,Two year,64.09571192496463,961.44,Yes,DSL,15,Yes,Bank transfer (automatic),No,64.09571192496463,961.44
Cust_0040,52,Female,Two year,86.58240051336068,346.33,No,Fiber optic,4,No,Bank transfer (automatic),Yes,86.58240051336068,346.33
Cust_0041,58,Female,One year,66.30986375777708,3116.56,No,DSL,47,Yes,Mailed check,Yes,66.30986375777708,3116.56
Cust_0042,52,Male,One year,80.24488252118606,401.22,No,No,5,No,Bank transfer (automatic),No,80.24488252118606,401.22
Cust_0043,48,Male,One year,95.12710181144632,5231.99,No,DSL,55,Yes,Credit card (automatic),No,95.12710181144632,5231.99
Cust_0044,46,Female,One year,76.83469310446502,384.17,Yes,No,5,No,Credit card (automatic),No,76.83469310446502,384.17
Cust_0045,32,Male,One year,119.34710620547428,1074.12,Yes,DSL,9,No,Mailed check,No,119.34710620547428,433.09
Cust_0046,41,Male,Two year,37.61515445223384,1767.91,No,No,47,No,Credit card (automatic),Yes,37.61515445223384,1767.91
Cust_0047,44,Male,One year,119.19280591840703,7032.38,No,No,59,Yes,Mailed check,No,119.19280591840703,7032.38
Cust_0048,62,Male,Month-to-month,108.69282038008397,2065.16,Yes,No,19,No,Mailed check,No,108.69282038008397,2065.16
Cust_0049,54,Female,Two year,46.22271831213558,3143.14,Yes,No,68,Yes,Mailed check,No,46.22271831213558,3143.14
Cust_0050,28,Male,Two year,68.5147189160283,616.63,No,Fiber optic,9,Yes,Mailed check,Yes,68.5147189160283,616.63
Cust_0051,53,Female,Month-to-month,67.66456581256135,3586.22,No,Fiber optic,53,No,Mailed check,No,67.66456581256135,3586.22
Cust_0052,45,Female,Month-to-month,69.18888501982545,1037.83,No,No,15,No,Bank transfer (automatic),No,69.18888501982545,1037.83
Cust_0053,41,Male,Two year,46.39557678042704,185.58,No,DSL,4,Yes,Credit card (automatic),No,46.39557678042704,185.58
Cust_0054,57,Female,One year,56.3481944230929,394.44,Yes,DSL,7,No,Mailed check,No,56.3481944230929,394.44
Cust_0055,62,Male,Two year,97.54616490491753,487.73,No,Fiber optic,5,Yes,Electronic check,No,97.54616490491753,487.73
Cust_0056,61,Male,Two year,50.41126378579646,1915.63,No,DSL,38,Yes,Electronic check,No,50.41126378579646,1915.63
Cust_0057,39,Male,Month-to-month,70.60068912480449,635.41,No,No,9,Yes,Electronic check,Yes,70.60068912480449,635.41
Cust_0058,46,Female,Two year,68.45397828438757,205.36,Yes,No,3,Yes,Credit card (automatic),No,68.45397828438757,205.36
Cust_0059,53,Female,One year,56.48497903018108,2202.91,No,DSL,39,No,Credit card (automatic),Yes,56.48497903018108,2202.91
Cust_0060,61,Female,Month-to-month,49.085369414376494,294.51,Yes,Fiber optic,6,No,Bank transfer (automatic),No,49.085369414376494,294.51
Cust_0061,44,Male,Two year,34.02344882320913,1973.36,No,Fiber optic,58,Yes,Mailed check,Yes,34.02344882320913,1973.36
Cust_0062,47,Male,Two year,60.78689020147601,2735.41,No,DSL,45,No,Bank transfer (automatic),No,60.78689020147601,2735.41
Cust_0063,36,Male,One year,31.91061720601076,702.03,Yes,Fiber optic,22,No,Bank transfer (automatic),No,31.91061720601076,702.03
Cust_0064,35,Female,Two year,63.30472969166634,633.05,No,DSL,10,No,Mailed check,No,63.30472969166634,633.05
Cust_0065,59,Male,Two year,30.694085842632642,1565.4,No,DSL,51,Yes,Bank transfer (automatic),No,30.694085842632642,1565.4
Cust_0066,66,Male,Two year,36.62753301527672,549.41,Yes,Fiber optic,15,Yes,Mailed check,No,36.62753301527672,549.41
Cust_0067,49,Female,Two year,71.77016955156031,4808.6,Yes,DSL,67,Yes,Mailed check,No,71.77016955156031,4808.6
Cust_0068,62,Female,One year,47.33733517679568,426.04,Yes,Fiber optic,9,Yes,Mailed check,No,47.33733517679568,426.04
Cust_0069,54,Female,Two year,94.7783673320412,1516.45,Yes,No,16,No,Electronic check,No,94.7783673320412,1516.45
Cust_0070,42,Male,Two year,111.3780116218287,6125.79,No,No,55,Yes,Credit card (automatic),No,111.3780116218287,6125.79
Cust_0071,54,Male,Two year,62.91764829811666,1006.68,No,Fiber optic,16,Yes,Mailed check,No,62.91764829811666,1006.68
Cust_0072,68,Male,Month-to-month,39.94516795275761,319.56,Yes,DSL,8,No,Mailed check,No,39.94516795275761,319.56
Cust_0073,49,Female,One year,58.06652173487606,1451.66,No,No,25,Yes,Bank transfer (automatic),No,58.06652173487606,1451.66
Cust_0074,68,Female,Month-to-month,47.37224664997064,94.74,No,DSL,2,Yes,Electronic check,No,47.37224664997064,94.74
Cust_0075,18,Female,Month-to-month,66.75585198306442,3271.04,No,No,49,Yes,Bank transfer (automatic),Yes,66.75585198306442,3271.04
Cust_0076,59,Female,One year,31.084036194460804,652.76,No,Fiber optic,21,Yes,Bank transfer (automatic),No,31.084036194460804,652.76
Cust_0077,51,Male,Month-to-month,79.29303482963205,158.59,No,DSL,2,Yes,Electronic check,Yes,79.29303482963205,158.59
Cust_0078,46,Male,Month-to-month,40.34569144285898,927.95,No,Fiber optic,23,No,Bank transfer (automatic),No,40.34569144285898,927.95
Cust_0079,51,Male,Month-to-month,46.59929136894792,2236.77,No,DSL,48,No,Bank transfer (automatic),No,46.59929136894792,2236.77
Cust_0080,26,Male,One year,94.24411493856846,4146.74,Yes,No,44,Yes,Mailed check,No,94.24411493856846,4146.74
Cust_0081,47,Male,Two year,41.10082092190653,287.71,No,Fiber optic,7,No,Electronic check,No,41.10082092190653,287.71
Cust_0082,54,Male,One year,112.38102659646492,224.76,Yes,No,2,No,Electronic check,No,112.38102659646492,224.76
Cust_0083,67,Male,One year,184.76227644674128,12009.55,No,DSL,65,No,Electronic check,Yes,184.76227644674128,4742.5
Cust_0084,43,Male,One year,60.25822026522928,903.87,No,DSL,15,Yes,Bank transfer (automatic),Yes,60.25822026522928,903.87
Cust_0085,40,Female,Month-to-month,83.24649704131409,2247.66,Yes,Fiber optic,27,No,Credit card (automatic),No,83.24649704131409,2247.66
Cust_0086,43,Female,Two year,44.437538471147164,977.63,Yes,No,22,No,Bank transfer (automatic),Yes,44.437538471147164,977.63
Cust_0087,60,Male,One year,73.47118375971534,587.77,Yes,Fiber optic,8,No,Credit card (automatic),Yes,73.47118375971534,587.77
Cust_0088,53,Female,One year,51.86367570312463,1037.27,Yes,No,20,No,Electronic check,No,51.86367570312463,1037.27
Cust_0089,43,Male,Two year,56.71176404900498,3742.98,Yes,No,66,Yes,Bank transfer (automatic),Yes,56.71176404900498,3742.98
Cust_0090,56,Male,Two year,57.600944899539954,748.81,Yes,DSL,13,Yes,Credit card (automatic),No,57.600944899539954,748.81
Cust_0091,51,Female,Two year,72.82253311028558,291.29,No,DSL,4,No,Electronic check,No,72.82253311028558,291.29
Cust_0092,61,Male,Month-to-month,68.09335401804887,1089.49,No,Fiber optic,16,No,Bank transfer (automatic),Yes,68.09335401804887,1089.49
Cust_0093,41,Male,Two year,39.758286277251074,1630.09,Yes,DSL,41,Yes,Electronic check,No,39.758286277251074,1630.09
Cust_0094,46,Male,Month-to-month,64.336450202472,2573.46,No,DSL,40,Yes,Credit card (automatic),No,64.336450202472,2573.46
Cust_0095,45,Male,One year,118.91263778115635,2616.08,Yes,Fiber optic,22,No,Electronic check,No,118.91263778115635,2616.08
Cust_0096,32,Male,Month-to-month,85.00314689838294,2550.09,Yes,Fiber optic,30,No,Credit card (automatic),No,85.00314689838294,2550.09
Cust_0097,53,Male,Two year,57.66028861469331,115.32,Yes,Fiber optic,2,No,Bank transfer (automatic),No,57.66028861469331,115.32
Cust_0098,53,Male,Month-to-month,71.81647039469348,1364.51,Yes,No,19,No,Credit card (automatic),No,71.81647039469348,1364.51
Cust_0099,50,Female,Two year,47.79799485641756,955.96,No,No,20,No,Electronic check,No,47.79799485641756,955.96
Cust_0100,47,Female,Month-to-month,95.0680450835025,1521.09,Yes,No,16,Yes,Electronic check,No,95.0680450835025,1521.09
Cust_0101,33,Male,One year,93.35226578379032,4760.97,No,Fiber optic,51,Yes,Credit card (automatic),Yes,93.35226578379032,4760.97
Cust_0102,44,Female,Month-to-month,43.21926798928861,821.17,No,DSL,19,No,Mailed check,No,43.21926798928861,821.17
Cust_0103,45,Male,One year,77.20859060029821,1544.17,No,No,20,No,Electronic check,No,77.20859060029821,1544.17
Cust_0104,40,Male,Two year,74.70407744090265,1045.86,No,DSL,14,Yes,Electronic check,No,74.70407744090265,1045.86
Cust_0105,48,Male,One year,61.329945353436706,797.29,Yes,No,13,No,Mailed check,Yes,61.329945353436706,797.29
Cust_0106,54,Male,Two year,30.15907532798538,241.27,Yes,DSL,8,Yes,Credit card (automatic),Yes,30.15907532798538,241.27
Cust_0107,72,Female,Two year,58.64580227806406,3987.91,Yes,No,68,No,Electronic check,No,58.64580227806406,3987.91
Cust_0108,52,Female,One year,106.16795966686297,424.67,No,DSL,4,No,Electronic check,No,106.16795966686297,424.67
Cust_0109,53,Female,One year,62.05939122616016,868.83,Yes,No,14,Yes,Mailed check,Yes,62.05939122616016,868.83
Cust_0110,49,Female,Month-to-month,75.09380085390563,3304.13,Yes,No,44,Yes,Bank transfer (automatic),No,75.09380085390563,3304.13
Cust_0111,26,Male,Month-to-month,69.96834934600119,1469.34,Yes,No,21,No,Credit card (automatic),No,69.96834934600119,1469.34
Cust_0112,49,Female,One year,47.253241178717914,472.53,Yes,Fiber optic,10,Yes,Electronic check,No,47.253241178717914,472.53
Cust_0113,50,Male,One year,97.28040128570696,1848.33,Yes,No,19,Yes,Bank transfer (automatic),No,97.28040128570696,1848.33
Cust_0114,79,Male,One year,57.3622428307541,286.81,No,DSL,5,Yes,Electronic check,No,57.3622428307541,286.81
Cust_0115,47,Female,One year,53.72612322820337,214.9,No,DSL,4,No,Electronic check,No,53.72612322820337,214.9
Cust_0116,53,Male,Two year,37.73428928189435,1207.5,Yes,No,32,No,Bank transfer (automatic),No,37.73428928189435,1207.5
Cust_0117,49,Female,One year,55.98184417009534,839.73,No,DSL,15,Yes,Mailed check,No,55.98184417009534,839.73
Cust_0118,35,Female,One year,72.53444592137562,1668.29,No,No,23,No,Credit card (automatic),No,72.53444592137562,1668.29
Cust_0119,63,Female,One year,63.01605728844913,1260.32,No,DSL,20,Yes,Mailed check,No,63.01605728844913,1260.32
Cust_0120,59,Female,One year,78.66016878918548,2753.11,No,No,35,Yes,Electronic check,No,78.66016878918548,2753.11
Cust_0121,59,Female,Two year,48.5164530773568,485.16,Yes,No,10,Yes,Mailed check,No,48.5164530773568,485.16
Cust_0122,39,Male,Month-to-month,39.00692842688631,1989.35,No,DSL,51,Yes,Electronic check,No,39.00692842688631,1989.35
Cust_0123,66,Female,Month-to-month,56.702068749435114,1984.57,No,No,35,Yes,Electronic check,No,56.702068749435114,1984.57
Cust_0124,33,Female,Month-to-month,79.95727507490072,239.87,No,DSL,3,No,Bank transfer (automatic),No,79.95727507490072,239.87
Cust_0125,57,Male,Month-to-month,100.4413796636156,1707.5,No,No,17,No,Bank transfer (automatic),No,100.4413796636156,1707.5
Cust_0126,76,Female,Month-to-month,54.877592853708535,493.9,Yes,DSL,9,No,Mailed check,No,54.877592853708535,493.9
Cust_0127,38,Female,Two year,58.620613570073274,351.72,No,Fiber optic,6,No,Bank transfer (automatic),No,58.620613570073274,351.72
Cust_0128,43,Male,Month-to-month,89.61101920348634,896.11,Yes,No,10,Yes,Electronic check,No,89.61101920348634,896.11
Cust_0129,51,Male,Two year,65.65583582344478,919.18,Yes,No,14,No,Mailed check,No,65.65583582344478,919.18
Cust_0130,43,Female,Two year,35.00375154149771,210.02,No,No,6,Yes,Bank transfer (automatic),No,35.00375154149771,210.02
Cust_0131,31,Male,Month-to-month,53.66660896713305,1717.33,Yes,Fiber optic,32,Yes,Mailed check,Yes,53.66660896713305,1717.33
Cust_0132,50,Female,Month-to-month,181.3015149607641,362.6,Yes,No,2,Yes,Credit card (automatic),Yes,181.3015149607641,142.37
Cust_0133,37,Male,Month-to-month,76.14750860159774,380.74,Yes,Fiber optic,5,No,Mailed check,Yes,76.14750860159774,380.74
Cust_0134,55,Female,One year,40.37147083428652,1776.34,Yes,Fiber optic,44,No,Credit card (automatic),No,40.37147083428652,1776.34
Cust_0135,38,Female,Two year,36.70182090159621,660.63,Yes,Fiber optic,18,Yes,Electronic check,No,36.70182090159621,660.63
Cust_0136,68,Female,Month-to-month,89.1940010164763,6243.58,No,DSL,70,No,Mailed check,No,89.1940010164763,6243.58
Cust_0137,40,Male,One year,107.20752605175919,2358.57,Yes,DSL,22,No,Electronic check,No,107.20752605175919,2358.57
Cust_0138,46,Female,Two year,67.31863751168854,1279.05,No,No,19,Yes,Electronic check,Yes,67.31863751168854,1279.05
Cust_0139,59,Male,One year,53.419486253147106,1121.81,No,Fiber optic,21,No,Mailed check,No,53.419486253147106,1121.81
Cust_0140,35,Female,One year,66.63701200025955,1132.83,No,No,17,No,Bank transfer (automatic),No,66.63701200025955,1132.83
Cust_0141,52,Female,Month-to-month,101.77383561144862,5190.47,No,DSL,51,No,Bank transfer (automatic),No,101.77383561144862,5190.47
Cust_0142,65,Female,Two year,62.670735670781696,1316.09,No,No,21,Yes,Mailed check,No,62.670735670781696,1316.09
Cust_0143,30,Female,One year,61.21185572879069,3366.65,No,Fiber optic,55,Yes,Credit card (automatic),No,61.21185572879069,3366.65
Cust_0144,52,Female,Two year,37.61515445223384,413.77,No,Fiber optic,11,No,Electronic check,No,37.61515445223384,413.77
Cust_0145,53,Male,Month-to-month,47.31910290713191,2271.32,No,Fiber optic,48,No,Credit card (automatic),No,47.31910290713191,2271.32
Cust_0146,59,Male,Two year,47.03925097393683,94.08,No,Fiber optic,2,No,Electronic check,No,47.03925097393683,94.08
Cust_0147,35,Male,One year,53.72929881754739,2041.71,Yes,No,38,No,Mailed check,No,53.72929881754739,2041.71
Cust_0148,34,Female,One year,43.08539908254073,344.68,Yes,Fiber optic,8,No,Mailed check,Yes,43.08539908254073,344.68
Cust_0149,56,Female,Two year,66.13033938213485,1851.65,No,DSL,28,No,Bank transfer (automatic),No,66.13033938213485,1851.65
Cust_0150,53,Male,One year,40.45466228754139,1739.55,No,Fiber optic,43,Yes,Electronic check,No,40.45466228754139,1739.55
Cust_0151,53,Female,One year,70.52226562304347,3667.16,Yes,DSL,52,No,Electronic check,Yes,70.52226562304347,3667.16
Cust_0152,54,Female,One year,69.01869307606577,4210.14,No,No,61,Yes,Credit card (automatic),No,69.01869307606577,4210.14
Cust_0153,41,Female,Month-to-month,70.20607477129019,421.24,No,No,6,No,Mailed check,Yes,70.20607477129019,421.24
Cust_0154,52,Male,Month-to-month,84.45257627605297,1604.6,Yes,No,19,Yes,Electronic check,No,84.45257627605297,1604.6
Cust_0155,53,Male,One year,72.08537452936815,3748.44,No,No,52,Yes,Mailed check,No,72.08537452936815,3748.44
Cust_0156,41,Male,Two year,69.60875028847285,278.44,Yes,DSL,4,Yes,Electronic check,No,69.60875028847285,278.44
Cust_0157,72,Male,Month-to-month,49.2647587590448,3005.15,No,DSL,61,No,Credit card (automatic),No,49.2647587590448,3005.15
Cust_0158,55,Male,Two year,77.60600442204156,1319.3,No,Fiber optic,17,Yes,Bank transfer (automatic),No,77.60600442204156,1319.3
Cust_0159,35,Female,One year,68.55037861595123,137.1,No,Fiber optic,2,Yes,Electronic check,No,68.55037861595123,137.1
Cust_0160,57,Female,One year,75.2890690778857,301.16,No,No,4,Yes,Mailed check,No,75.2890690778857,301.16
Cust_0161,38,Female,Two year,71.35456925950972,142.71,No,No,2,Yes,Credit card (automatic),No,71.35456925950972,142.71
Cust_0162,59,Female,Month-to-month,68.50223028164231,2877.09,Yes,DSL,42,No,Mailed check,No,68.50223028164231,2877.09
Cust_0163,63,Male,Two year,34.26836726057367,1781.96,No,DSL,52,Yes,Electronic check,Yes,34.26836726057367,1781.96
Cust_0164,40,Male,Two year,61.48892070952844,1414.25,No,No,23,Yes,Bank transfer (automatic),No,61.48892070952844,1414.25
Cust_0165,61,Female,One year,38.07954484077853,723.51,Yes,No,19,Yes,Credit card (automatic),Yes,38.07954484077853,723.51
Cust_0166,54,Male,Month-to-month,38.33781936128743,1686.86,No,DSL,44,Yes,Bank transfer (automatic),No,38.33781936128743,1686.86
Cust_0167,59,Female,Two year,61.80665270627098,4017.43,No,DSL,65,Yes,Bank transfer (automatic),No,61.80665270627098,4017.43
Cust_0168,72,Female,Month-to-month,107.82377299213377,107.82,No,DSL,1,No,Mailed check,Yes,107.82377299213377,107.82
Cust_0169,47,Female,One year,38.37590073469739,2149.05,Yes,No,56,Yes,Mailed check,No,38.37590073469739,2149.05
Cust_0170,40,Female,Month-to-month,55.25187679383254,55.25,Yes,DSL,1,No,Credit card (automatic),No,55.25187679383254,55.25
Cust_0171,39,Male,One year,30.6956220475965,491.13,No,DSL,16,No,Bank transfer (automatic),No,30.6956220475965,491.13
Cust_0172,40,Female,Month-to-month,31.79982018885786,2162.39,No,Fiber optic,68,Yes,Electronic check,No,31.79982018885786,2162.39
Cust_0173,49,Male,Two year,59.14476388897923,1301.18,Yes,DSL,22,No,Electronic check,Yes,59.14476388897923,1301.18
Cust_0174,54,Female,One year,30.80581773474912,1509.49,No,Fiber optic,49,No,Electronic check,No,30.80581773474912,1509.49
Cust_0175,53,Female,Two year,119.68194954749099,4906.96,Yes,Fiber optic,41,Yes,Electronic check,No,119.68194954749099,4906.96
Cust_0176,59,Female,One year,145.6763086807658,1602.44,No,No,11,Yes,Mailed check,No,145.6763086807658,684.62
Cust_0177,50,Female,Month-to-month,49.85413052047251,3190.66,Yes,No,64,Yes,Bank transfer (automatic),No,49.85413052047251,3190.66
Cust_0178,67,Male,Month-to-month,35.1281678440673,772.82,Yes,No,22,No,Bank transfer (automatic),No,35.1281678440673,772.82
Cust_0179,46,Female,One year,77.0600189908545,2080.62,No,No,27,Yes,Credit card (automatic),No,77.0600189908545,2080.62
Cust_0180,80,Male,One year,74.66636675830159,1269.33,Yes,DSL,17,No,Electronic check,No,74.66636675830159,1269.33
Cust_0181,57,Female,One year,43.49815986416873,2348.9,No,DSL,54,Yes,Bank transfer (automatic),No,43.49815986416873,2348.9
Cust_0182,39,Female,Month-to-month,109.21316650103228,1856.62,Yes,DSL,17,Yes,Mailed check,Yes,109.21316650103228,1856.62
Cust_0183,37,Female,One year,32.02151922389302,736.49,No,Fiber optic,23,No,Credit card (automatic),No,32.02151922389302,736.49
Cust_0184,55,Male,One year,74.3861805732241,1190.18,Yes,No,16,Yes,Electronic check,Yes,74.3861805732241,1190.18
Cust_0185,47,Female,Two year,58.68648022663142,2758.26,No,DSL,47,No,Credit card (automatic),No,58.68648022663142,2758.26
Cust_0186,58,Female,One year,112.45782462449776,224.92,Yes,DSL,2,No,Bank transfer (automatic),No,112.45782462449776,224.92
Cust_0187,55,Female,Two year,64.52598417620973,1032.42,Yes,No,16,Yes,Mailed check,No,64.52598417620973,1032.42
Cust_0188,49,Female,Two year,45.50024645830592,955.51,No,Fiber optic,21,No,Bank transfer (automatic),No,45.50024645830592,955.51
Cust_0189,39,Female,Two year,42.230173744443476,126.69,No,Fiber optic,3,Yes,Credit card (automatic),No,42.230173744443476,126.69
Cust_0190,31,Male,Month-to-month,57.36190482251291,1319.32,Yes,No,23,Yes,Mailed check,Yes,57.36190482251291,1319.32
Cust_0191,44,Male,Two year,87.32150327970746,1571.79,Yes,No,18,Yes,Bank transfer (automatic),Yes,87.32150327970746,1571.79
Cust_0192,60,Female,One year,61.308538197543015,1900.56,No,DSL,31,No,Bank transfer (automatic),Yes,61.308538197543015,1900.56
Cust_0193,52,Female,Month-to-month,49.43770292563438,197.75,Yes,Fiber optic,4,No,Mailed check,No,49.43770292563438,197.75
Cust_0194,35,Male,Month-to-month,119.18559276861178,2622.08,No,No,22,No,Bank transfer (automatic),No,119.18559276861178,2622.08
Cust_0195,52,Female,Month-to-month,46.70517100305118,2055.03,No,Fiber optic,44,Yes,Electronic check,Yes,46.70517100305118,2055.03
Cust_0196,54,Male,Month-to-month,139.38198826389308,4320.84,No,Fiber optic,31,Yes,Bank transfer (automatic),No,139.38198826389308,2692.19
Cust_0197,39,Female,Month-to-month,43.38733230596104,1778.88,No,DSL,41,Yes,Credit card (automatic),No,43.38733230596104,1778.88
Cust_0198,51,Female,Month-to-month,116.72198235776322,7586.93,No,DSL,65,No,Bank transfer (automatic),No,116.72198235776322,7586.93
Cust_0199,50,Male,Month-to-month,68.2819429510214,136.56,No,No,2,No,Mailed check,No,68.2819429510214,136.56
Cust_0200,36,Female,Two year,81.75956197713731,81.76,Yes,Fiber optic,1,Yes,Electronic check,No,81.75956197713731,81.76
Cust_0201,54,Male,One year,60.58848688283858,3514.13,No,DSL,58,Yes,Bank transfer (automatic),No,60.58848688283858,3514.13
Cust_0202,56,Male,One year,102.21510353992628,306.65,Yes,DSL,3,No,Bank transfer (automatic),No,102.21510353992628,306.65
Cust_0203,62,Male,Two year,103.83192785219966,5606.92,No,Fiber optic,54,No,Credit card (automatic),No,103.83192785219966,5606.92
Cust_0204,62,Female,Two year,46.03800359588769,782.65,No,Fiber optic,17,No,Credit card (automatic),Yes,46.03800359588769,782.65
Cust_0205,33,Male,Month-to-month,42.109954845000615,926.42,Yes,Fiber optic,22,No,Bank transfer (automatic),Yes,42.109954845000615,926.42
Cust_0206,38,Male,Month-to-month,55.34487084704618,3708.11,No,Fiber optic,67,Yes,Credit card (automatic),No,55.34487084704618,3708.11
Cust_0207,56,Female,Two year,63.7147225747898,1083.15,No,DSL,17,No,Bank transfer (automatic),No,63.7147225747898,1083.15
Cust_0208,56,Female,Month-to-month,57.83462405251298,2602.56,No,DSL,45,No,Mailed check,Yes,57.83462405251298,2602.56
Cust_0209,56,Female,One year,74.232847151875,1261.96,No,No,17,Yes,Bank transfer (automatic),No,74.232847151875,1261.96
Cust_0210,80,Female,One year,50.47610326107811,1009.52,Yes,Fiber optic,20,Yes,Mailed check,No,50.47610326107811,1009.52
Cust_0211,56,Female,Month-to-month,44.2921415621508,221.46,Yes,No,5,Yes,Electronic check,No,44.2921415621508,221.46
Cust_0212,63,Female,Month-to-month,64.65106258757915,2780.0,Yes,DSL,43,Yes,Mailed check,No,64.65106258757915,2780.0
Cust_0213,61,Male,Month-to-month,47.146234399227374,518.61,Yes,Fiber optic,11,No,Electronic check,No,47.146234399227374,518.61
Cust_0214,57,Female,One year,41.38490499340841,2524.48,Yes,No,61,Yes,Electronic check,No,41.38490499340841,2524.48
